`,file_name,impd_code,site_name,site_code,Contributor,Longitude,Latitude,Reference
86,BLR.FHX,BLR,?? Ridge,BLR,Swetnam_TW,-112.241903,36.713767,NA
87,BMC.fhx,BMC,"Snake River Range, NV",BMC,Heyerdahl_EK,-114.2743,39.0318,NA
88,BMD.FHX,BMD,Mariposa Grove Southwest,BMD,Swetnam_TW,-119.617,37.50149,NA
91,BOM.fhx,BOM,Boulder Mountain,BOM,Brown_PM,-111.4175,38.1928,NA
97,BRC.FHX,BRC,Unnamed?,BRC,Swetnam_TW,-108.784408,31.565124,NA
100,BRO.fhx,BRO,"Brownie Creek, UT",BRO,Heyerdahl_EK,-109.7655,40.6504,NA
101,BSC.FHX,BSC,Big Stump Central,BSC,Swetnam_TW,-118.966269,36.719181,NA
102,BSE.FHX,BSE,Big Stump East,BSE,Swetnam_TW,-118.967086,36.717799,NA
103,Bsf.fhx,BSF,Booger Springs Flat,BSF,Swetnam_TW,-109.276,31.87072,NA
104,BSN.FHX,BSN,Big Stump North,BSN,Swetnam_TW,-118.974203,36.72017,NA
106,BSU.FHX,BSU,Big Stump Upper,BSU,Swetnam_TW,-118.964247,36.720297,NA
107,BSW.FHX,BSW,Big Stump West,BSW,Swetnam_TW,-118.971823,36.716146,NA
120,BWA_all.fhx,BWA_ALL,"Snake River Range, NV (big wash)",BWA_2,Kitchen_SG,-114.2167,38.85,NA
121,BWF.fhx,BWF,Bear Wallow Flat,BWF,Swetnam_TW,-109.279395,31.876937,NA
125,cadmm001.fhx,CADMM001,Lake Duparquet Mesic Mainland Sites,NA,"Bergeron, Y.",-79.28,48.47,NA
126,cadmx001.fhx,CADMX001,Lake Duparquet Xerix Mainland Sites,NA,"Bergeron, Y.",-79.28,48.47,NA
127,calst001.fhx,CALST001,Lower Stein River Valley,LST,Heyerdahl_EK,-121.6570634,50.27119852,NA
131,cbp1.fhx,CBP1,Catalina Butterfly Peak Plot 01,CBP_1,Iniguez_J,-110.72994,32.43578,NA
132,cbp12.fhx,CBP12,Catalina Butterfly Peak Plot 12,CBP_12,Iniguez_J,-110.72345,32.43161,NA
133,cbp13.fhx,CBP13,Catalina Butterfly Peak Plot 13,CBP_13,Iniguez_J,-110.70815,32.4248,NA
134,cbp14.fhx,CBP14,Catalina Butterfly Peak Plot 14,CBP_14,Iniguez_J,-110.71468,32.43151,NA
135,cbp15.fhx,CBP15,Catalina Butterfly Peak Plot 15,CBP_15,Iniguez_J,-110.71689,32.428,NA
136,cbp2.fhx,CBP2,Catalina Butterfly Peak Plot 02,CBP_2,Iniguez_J,-110.7422,32.42946,NA
137,cbp23.fhx,CBP23,Catalina Butterfly Peak Plot 23,CBP_23,Iniguez_J,-110.72815,32.42334,NA
138,cbp26.fhx,CBP26,Catalina Butterfly Peak Plot 26,CBP_26,Iniguez_J,-110.7352,32.42899,NA
139,cbp27.fhx,CBP27,Catalina Butterfly Peak Plot 27,CBP_27,Iniguez_J,-110.73315,32.42884,NA
140,cbp28.fhx,CBP28,Catalina Butterfly Peak Plot 28,CBP_28,Iniguez_J,-110.7348,32.43431,NA
141,cbp3.fhx,CBP3,Catalina Butterfly Peak Plot 03,CBP_3,Iniguez_J,-110.73262,32.43546,NA
142,cbp30.fhx,CBP30,Catalina Butterfly Peak Plot 30,CBP_30,Iniguez_J,-110.70871,32.41639,NA
143,cbp33.fhx,CBP33,Catalina Butterfly Peak Plot 33,CBP_33,Iniguez_J,-110.69507,32.41003,NA
144,cbp35.fhx,CBP35,Catalina Butterfly Peak Plot 35,CBP_35,Iniguez_J,-110.72,32.42096,NA
145,cbp4.fhx,CBP4,Catalina Butterfly Peak Plot 04,CBP_4,Iniguez_J,-110.72173,32.42831,NA
146,cbp7.fhx,CBP7,Catalina Butterfly Peak Plot 07,CBP_7,Iniguez_J,-110.68026,32.40018,NA
147,cbp8.fhx,CBP8,Catalina Butterfly Peak Plot 08,CBP_8,Iniguez_J,-110.68295,32.40081,NA
148,cbp9.fhx,CBP9,Catalina Butterfly Peak Plot 09,CBP_9,Iniguez_J,-110.70037,32.41594,NA
150,CC2_2.fhx,CC2_2,SBNF,CC2,Lombardo_K,-116.949635,34.15938,NA
151,CCF.fhx,CCF,Cima Creek Flat,CCF,Swetnam_TW,-109.283,31.86155,NA
152,CCN.fhx,CCN,ANF,CCN,Lombardo_K,-118.186264,34.370861,NA
153,CCR.FHX,CCR,Crystal Cave Road,CCR,Swetnam_TW,-118.787517,36.560859,NA
159,CHC.fhx,CHC,LPNF,CHC,Lombardo_K,-119.357897,34.575606,NA
160,CHP.FHX,CHP,Chiricahua peak,CHP,Swetnam_TW,-109.287,31.84352,NA
163,CIS.FHX,CIS,Cistern Saddle,CIS,Swetnam_TW,-108.785348,31.560423,NA
165,Cmc_Seq.fhx,CMC_SEQ,Circle Meadow Central,CMC,Swetnam_TW,-118.750885,36.570906,NA
166,Cme_Seq.fhx,CME_SEQ,Circle Meadow East,CME_seq,Swetnam_TW,-118.747,36.56662,NA
167,Cmn_Seq.fhx,CMN_SEQ,Circle Meadow North,CMN_seq,Swetnam_TW,-118.747,36.5719,NA
169,cmr.FHX,CMR,Colony Mill Road Pine,CMR,Swetnam_TW,-118.804273,36.564505,NA
170,CMT.FHX,CMT,Chris Mountain,CMT,Wu_R,-107.21358,37.27264,NA
171,Cmw_Seq.fhx,CMW_SEQ,Circle Meadow West,CMW_seq,Swetnam_TW,-118.749,36.57255,NA
173,CON2.FHX,CON2,Continental Divide,CON,Swetnam_TW,-106.958,36.312,NA
176,CPK_2.fhx,CPK_2,LPNF,CPK,Lombardo_K,-119.169978,34.505142,NA
178,crc1.fhx,CRC1,Catalina Rose Canyon CRC01,CRC_1,Iniguez_J,-110.73519,32.41212,NA
179,crc10.fhx,CRC10,Catalina Rose Canyon CRC10,CRC_10,Iniguez_J,-110.73434,32.39349,NA
180,crc11.fhx,CRC11,Catalina Rose Canyon CRC11,CRC_11,Iniguez_J,-110.72375,32.3993,NA
181,crc12.fhx,CRC12,Catalina Rose Canyon CRC12,CRC_12,Iniguez_J,-110.73013,32.39812,NA
182,crc16.fhx,CRC16,Catalina Rose Canyon CRC16,CRC_16,Iniguez_J,-110.70246,32.38588,NA
183,crc17.fhx,CRC17,Catalina Rose Canyon CRC17,CRC_17,Iniguez_J,-110.70914,32.38548,NA
184,crc18.fhx,CRC18,Catalina Rose Canyon CRC18,CRC_18,Iniguez_J,-110.71466,32.38626,NA
185,crc19.fhx,CRC19,Catalina Rose Canyon CRC19,CRC_19,Iniguez_J,-110.72335,32.4041,NA
186,crc2.fhx,CRC2,Catalina Rose Canyon CRC02,CRC_2,Iniguez_J,-110.73501,32.40983,NA
187,crc20.fhx,CRC20,Catalina Rose Canyon CRC20,CRC_20,Iniguez_J,-110.73261,32.40793,NA
188,crc21.fhx,CRC21,Catalina Rose Canyon CRC21,CRC_21,Iniguez_J,-110.72822,32.39402,NA
189,crc22.fhx,CRC22,Catalina Rose Canyon CRC22,CRC_22,Iniguez_J,-110.72908,32.41026,NA
190,crc3.fhx,CRC3,Catalina Rose Canyon CRC03,CRC_3,Iniguez_J,-110.73062,32.42071,NA
191,crc4.fhx,CRC4,Catalina Rose Canyon CRC04,CRC_4,Iniguez_J,-110.74733,32.40866,NA
192,crc5.fhx,CRC5,Catalina Rose Canyon CRC05,CRC_5,Iniguez_J,-110.74265,32.41081,NA
193,crc6.fhx,CRC6,Catalina Rose Canyon CRC06,CRC_6,Iniguez_J,-110.74896,32.40764,NA
194,crc7.fhx,CRC7,Catalina Rose Canyon CRC07,CRC_7,Iniguez_J,-110.69806,32.40354,NA
195,crc8.fhx,CRC8,Catalina Rose Canyon CRC08,CRC_8,Iniguez_J,-110.6989,32.40769,NA
196,crc9.fhx,CRC9,Catalina Rose Canyon CRC09,CRC_9,Iniguez_J,-110.69329,32.39182,NA
197,crl.fhx,CRL,Corral Mountain,CRL,Wu_R,-107.22807,37.39281,NA
199,CSA.fhx,CSA,SBNF,CSA,Lombardo_K,-116.836052,34.171205,NA
201,CSP.FHX,CSP,Calaveras Pines,CSP,Swetnam_TW,-120.2911,38.2722,NA
209,DEL.FHX,DEL,Deer Ridge Lower,DEL_1,Swetnam_TW,-118.7,36.23379,NA
210,DEM.FHX,DEM,Deer Ridge Middle,DEM,Swetnam_TW,-118.698,36.23544,NA
211,DEU.FHX,DEU,Deer Ridge Upper,DEU,Swetnam_TW,-118.698,36.2377,NA
216,DRU.FHX,DRU,Upper Deer Ridge,DRU,Swetnam_TW,-118.698548,36.245845,NA
221,Elp.fhx,ELP,East of Logger Point,ELP,Swetnam_TW,-118.979,36.70393,NA
222,EPH.fhx,EPH,"Ephraim Canyon, UT",EPH,Heyerdahl_EK,-111.4887,39.3274,NA
225,ETS.fhx,ETS,East of Tub Spring,ETS,Swetnam_TW,-109.2822,31.88106,NA
226,EVF.FHX,EVF,El Valle,EVF,Swetnam_TW,-105.7446862,36.1147703,NA
231,FLK.FHX,FLK,Forest Lakes,FL2_FLK,Wu_R,-107.59641,37.34223,NA
232,FLP.FHX,FLP,Fly Peak,FLP,Swetnam_TW,-109.2822,31.873575,NA
239,FRI_all.fhx,FRI_ALL,"San Francisco Mtns, UT",FRI_1,Kitchen_SG,-113.2667,38.5167,NA
249,GC.FHX,GC,Gordon Creek,GC_1,Wu_R,-107.12568,37.41542,NA
254,Gmw.fhx,GMW,Grouse Meadow Point,GMW,Swetnam_TW,-118.968,36.70086,NA
272,HEL.FHX,HEL,Heliport,HEL,Swetnam_TW,-119.697,37.56243,NA
277,HNR.fhx,HNR,"Henry Mountains, UT",HNR,Heyerdahl_EK,-110.822629,38.068337,NA
282,HUK.FHX,HUK,Huckleberry Meadow Pines,HUK,Swetnam_TW,-118.752,36.55628,NA
283,ICE.fhx,ICE,Ice Cave Ridge,ICE_1,Wu_R,-107.19899,37.42686,NA
284,IHE.FHX,IHE,Indian Hollow East Fork,IHE,Swetnam_TW,-106.552872,32.349108,NA
289,INC.fhx,INC,"Indian Creek, UT",INC,Heyerdahl_EK,-112.5016,38.4276,NA
290,jak.fhx,JAK,Jackson Mtn,JAK,Wu_R,-106.98252,37.34853,NA
292,JEDP01.FHX,JEDP01,East Kootenays BC - P01,P01,Daniels_L,-115.692,50.15,NA
293,JEDP02.FHX,JEDP02,East Kootenays BC - P02,P02,Daniels_L,-115.837,50.084,NA
294,JEDP04.FHX,JEDP04,East Kootenays BC - P04,P04,Daniels_L,-115.508,50.015,NA
295,JEDP05.FHX,JEDP05,East Kootenays BC - P05,P05,Daniels_L,-115.941,49.401,NA
296,JEDP06.FHX,JEDP06,East Kootenays BC - P06,P06,Daniels_L,-116.236,50.554,NA
297,JEDP07.FHX,JEDP07,East Kootenays BC - P07,P07,Daniels_L,-115.481,50.191,NA
298,JEDP09.FHX,JEDP09,East Kootenays BC - P09,P09,Daniels_L,-115.948,49.595,NA
299,JEDP10.FHX,JEDP10,East Kootenays BC - P10,P10,Daniels_L,-115.808,50.194,NA
300,JEDP11.FHX,JEDP11,East Kootenays BC - P11,P11,Daniels_L,-115.903,50.674,NA
301,JEDP12.FHX,JEDP12,East Kootenays BC - P12,P12,Daniels_L,-115.565,50.522,NA
302,JEDP13.FHX,JEDP13,East Kootenays BC - P13,P13,Daniels_L,-115.605,50.465,NA
303,JEDP14.FHX,JEDP14,East Kootenays BC - P14,P14,Daniels_L,-115.576,50.39,NA
304,JEDP15.FHX,JEDP15,East Kootenays BC - P15,P15,Daniels_L,-116.286,50.658,NA
305,JEDP17.FHX,JEDP17,East Kootenays BC - P17,P17,Daniels_L,-115.955,49.597,NA
306,JEDP18.FHX,JEDP18,East Kootenays BC - P18,P18,Daniels_L,-115.898,49.743,NA
307,JEDP19.FHX,JEDP19,East Kootenays BC - P19,P19,Daniels_L,-115.7,50.158,NA
308,JEDP20.FHX,JEDP20,East Kootenays BC - P20,P20,Daniels_L,-115.683,50.537,NA
309,JEDP21.FHX,JEDP21,East Kootenays BC - P21,P21,Daniels_L,-116.273,50.657,NA
310,JLN.FHX,JLN,Jacob Lake North,JLN,Swetnam_TW,-112.253215,36.717384,NA
311,JLS.FHX,JLS,Jacob Lake South,JLS,Swetnam_TW,-112.251092,36.716858,NA
315,JST.fhx,JST,ANF,JST,Lombardo_K,-118.139537,34.269583,NA
321,LAS.fhx,LAS,Sierra Ajos,LAS,Swetnam_TW,-109.917675,30.900093,NA
323,LBC.fhx,LBC,ANF,LBC_1,Lombardo_K,-118.108068,34.263121,NA
326,LD_BIT.FHX,LD_BIT,East Kootenays BC - BIT,BIT,Daniels_L,-116.597,50.979,NA
327,LD_BOT.FHX,LD_BOT,East Kootenays BC - BOT,BOT,Daniels_L,-116.111,49.638,NA
328,LD_CAR1A.FHX,LD_CAR1A,Cariboo BC (site 1 or D),Car_01_D,Daniels_L,-121.75,52.02,NA
329,LD_CAR2C.FHX,LD_CAR2C,Cariboo BC (site 2),Car_02,Daniels_L,-121.92,51.87,NA
330,LD_CAR3C.FHX,LD_CAR3C,Cariboo BC (site 3),Car_03,Daniels_L,-121.82,51.82,NA
331,LD_CAR4C.FHX,LD_CAR4C,Cariboo BC (site 4),Car_04,Daniels_L,-121.85,51.8,NA
332,LD_CAR5B.FHX,LD_CAR5B,Cariboo BC (site 5),Car_05,Daniels_L,-121.88,51.65,NA
333,LD_CAR6B.FHX,LD_CAR6B,Cariboo BC (site 6),Car_06,Daniels_L,-121.82,51.48,NA
334,LD_CAR7B.FHX,LD_CAR7B,Cariboo BC (site 7),Car_07,Daniels_L,-121.78,51.45,NA
335,LD_CAR8B.FHX,LD_CAR8B,Cariboo BC (site 8),Car_08,Daniels_L,-121.55,51.28,NA
336,LD_CAR9B.FHX,LD_CAR9B,Cariboo BC (site 9),Car_09,Daniels_L,-121.52,51.25,NA
337,LD_DUB.FHX,LD_DUB,East Kootenays BC - DUB,DUB,Daniels_L,-116.118,49.461,NA
338,LD_ETN.FHX,LD_ETN,East Kootenays BC - ETN,ETN,Daniels_L,-115.869,49.243,NA
339,LD_FEN.FHX,LD_FEN,East Kootenays BC - FEN,FEN,Daniels_L,-115.659,50.497,NA
340,LD_JOE.FHX,LD_JOE,East Kootenays BC - JOE,JOE,Daniels_L,-115.663,49.447,NA
341,LD_JOW.FHX,LD_JOW,East Kootenays BC - JOW,JOW,Daniels_L,-115.716,49.437,NA
342,LD_JUB.FHX,LD_JUB,East Kootenays BC - JUB,JUB,Daniels_L,-116.428,50.899,NA
343,LD_PAL.FHX,LD_PAL,East Kootenays BC - PAL,PAL_01,Daniels_L,-115.933,49.464,NA
344,LD_SPG.FHX,LD_SPG,East Kootenays BC - SPG,SPG_2,Daniels_L,-116.741,51.037,NA
345,LEE.FHX,LEE,Leon Russell (site 1),LEE,Swetnam_TW,-118.716137,36.227514,NA
347,LEW.FHX,LEW,Leon Russell (site 2),LEW,Swetnam_TW,-118.722,36.22682,NA
350,LGT.FHX,LGT,Laguna Tonito,LGT,Swetnam_TW,-106.429167,36.591667,NA
352,LIR.FHX,LIR,Lightning Ridge,LIR,Swetnam_TW,-118.712,36.57578,NA
354,LMC.FHX,LMC,Lower Mormon Canyon,LMC,Swetnam_TW,-109.326373,31.857683,NA
355,LMF_N.FHX,LMF_N,Limestone Flat - Long Valley Exp. Forest,LMF,Swetnam_TW,-111.340969,34.565272,NA
356,LMU.FHX,LMU,Langstroth Mesa Upper,LMU,Swetnam_TW,-108.53738,33.273103,NA
359,LPK.FHX,LPK,Lemmon Peak,LPK,Swetnam_TW,-110.793626,32.439289,NA
360,Lps_Yos.fhx,LPS_YOS,Mariposa Grove East,LPS_2,Swetnam_TW,-119.592,37.51488,NA
361,LRR.fhx,LRR,ANF,LRR,Lombardo_K,-118.19743,34.357965,NA
373,MCS.FHX,MCS,Mormon Canyon Spring,MCS,Swetnam_TW,-109.323,31.85821,NA
374,MDB.fhx,MDB,Sierra Ajos,MDB,Swetnam_TW,-109.916939,30.898962,NA
375,MDP.fhx,MDP,ANF,MDP_02,Lombardo_K,-118.109717,34.254308,NA
378,MG3.fhx,MG3,ANF,MG3,Lombardo_K,-118.145257,34.376417,NA
379,MH2.fhx,MH2,SBNF,MH2,Lombardo_K,-116.98842,34.112092,NA
380,MHC.fhx,MHC,SBNF,MHC,Lombardo_K,-116.98506,34.132479,NA
381,MHF.FHX,MHF,Mountain Home State Forest,MHF,Swetnam_TW,-118.682064,36.244691,NA
385,MMC.FHX,MMC,Middle Mormon Canyon,MMC,Swetnam_TW,-109.311784,31.85374,NA
386,MMS.FHX,MMS,Moses Mountain South,MMS,Swetnam_TW,-118.684,36.26083,NA
389,Mnz.fhx,MNZ,Manzanita,MNZ,Swetnam_TW,-118.948,36.73294,NA
390,MOM.FHX,MOM,Mountain Misery/Lower Old Frasier Mill Road,MOM,Swetnam_TW,-118.728,36.21909,NA
391,MON.fhx,MON,"Monroe Mountain, UT",MON,Heyerdahl_EK,-111.9838,38.4888,NA
393,MOR.FHX,MOR,Moro Rock,MOR_01,Swetnam_TW,-118.773,36.55724,NA
397,MPL.FHX,MPL,Mariposa Lower,MPL,Swetnam_TW,-119.600341,37.511315,NA
398,MPU.FHX,MPU,Mariposa Upper,MPU,Swetnam_TW,-119.600341,37.511315,NA
403,MTG.fhx,MTG,ANF,MTG,Lombardo_K,-118.08411,34.400242,NA
406,MTW.fhx,MTW,ANF,MTW,Lombardo_K,-118.099094,34.252517,NA
409,MUR.fhx,MUR,Middle Uinta River,MUR,Brown_PM,-110.0958,40.6314,NA
410,mxajt001.fhx,MXAJT001,Alto del Jiguital (AJT),AJT,Heyerdahl_EK,-106.881,25.453,NA
411,mxalf001.fhx,MXALF001,Arroyo de las Flores (ALF),ALF,Heyerdahl_EK,-105.25,23.622,NA
414,mxcar001.fhx,MXCAR001,El Carpintero (CAR),CAR,Heyerdahl_EK,-105.671,24.486,NA
415,mxchi001.fhx,MXCHI001,Las Chivas (CHI),CHI_MX,Heyerdahl_EK,-105.512,23.667,NA
417,mxfct001.fhx,MXFCT001,Falda de la Canada (FCT),FCT,Heyerdahl_EK,-106.954,25.412,NA
419,mxlba001.fhx,MXLBA001,Las Bayas (LBA),LBA,Heyerdahl_EK,-104.826,23.456,NA
420,mxmlc001.fhx,MXMLC001,Mesa de los Ladr¢nes (MLC),MLC_MX,Heyerdahl_EK,-105.659,24.467,NA
424,mxssp002.fhx,MXSSP002,Salsipuedes (SSP),SSP_2,Heyerdahl_EK,-108.137,28.151,NA
430,NEZ00.FHX,NEZ00,West Kootenays 00 HNFR1-5,NEZ00,Daniels_L,-117.06,49.638,NA
431,NEZ01.FHX,NEZ01,West Kootenays 01  HNFR2-1,NEZ01,Daniels_L,-117.37,49.511,NA
432,NEZ05.FHX,NEZ05,West Kootenays 05  HNFR1-2,NEZ05,Daniels_L,-117.073,49.621,NA
433,NEZ18.FHX,NEZ18,West Kootenays 18  HNFR1-1,NEZ18,Daniels_L,-117.386,49.496,NA
434,NEZ36.FHX,NEZ36,West Kootenays 36  HNFR1-3,NEZ36,Daniels_L,-117.252,49.605,NA
435,NEZ38.FHX,NEZ38,West Kootenays 38 HNFR2-2,NEZ38,Daniels_L,-117.259,49.624,NA
436,NEZ46.FHX,NEZ46,West Kootenays 46 HNFR2-3,NEZ46,Daniels_L,-117.329,49.475,NA
437,NEZ47.FHX,NEZ47,West Kootenays 47 HNFR1-4,NEZ47,Daniels_L,-116.974,49.599,NA
438,NEZ53.FHX,NEZ53,West Kootenays 53 HNFR2-5,NEZ53,Daniels_L,-116.924,49.604,NA
439,NFK.fhx,NFK,ANF,NFK,Lombardo_K,-118.217586,34.378003,NA
440,NL2.fhx,NL2,LPNF,NL2,Lombardo_K,-119.248827,34.497719,NA
491,NR2.fhx,NR2,LPNF,NR2,Lombardo_K,-119.196684,34.523652,NA
492,NRS.fhx,NRS,LPNF,NRS,Lombardo_K,-119.212492,34.51678,NA
501,ORH.fhx,ORH,LPNF,ORH,Lombardo_K,-119.343819,34.58333,NA
502,ORO.FHX,ORO,Other Rock Outcrop,ORO,Swetnam_TW,-109.303,31.85173,NA
506,OWP.fhx,OWP,"Old Woman Plateau, UT",OWP,Heyerdahl_EK,-111.4219,38.8951,NA
511,PC2.fhx,PC2,ANF,PC2,Lombardo_K,-118.162274,34.379688,NA
514,PCT.fhx,PCT,ANF,PCT,Lombardo_K,-118.205099,34.378015,NA
516,PEN.fhx,PEN,LPNF,PEN,Lombardo_K,-119.495651,34.535749,NA
530,PMS.fhx,PMS,LPNF,PMS,Lombardo_K,-119.385601,34.65155,NA
533,POF.FHX,POF,Pine Oak Flat,POF,Swetnam_TW,-119.689,37.41231,NA
538,PPF.FHX,PPF,"Pringle Falls Experimental Forest, OR (PPF)",PPF,Speer_JH,-121.6167,43.7,NA
539,PSG.fhx,PSG,"Paunsaugunt Plateau, UT",PSG,Heyerdahl_EK,-112.2985,37.4248,NA
540,PTA.fhx,PTA,Sierra Ajos,PTA,Swetnam_TW,-109.916764,30.90824,NA
541,PTJ.fhx,PTJ,LPNF,PTJ,Lombardo_K,-119.264721,34.583658,NA
543,R_BLUE.FHX,R_BLUE,Bluejoint Creek riparian (BLUE),R_BLUE,Kennedy_Sutherland,-114.46537,45.67277,NA
544,R_CHICK.FHX,R_CHICK,Chicken Creek riparian (Chick),R_CHICK,Kennedy_Sutherland,-114.3277,45.59963,NA
545,R_DEER.FHX,R_DEER,Deer Creek riparian (Deer),R_DEER,Kennedy_Sutherland,-114.333,45.5911,NA
546,R_FALLS.fhx,R_FALLS,Falls Creek riparian (Falls),R_FALLS,Kennedy_Sutherland,-113.13447,47.15132,NA
547,R_LODGE.fhx,R_LODGE,Lodgepole Creek riparian (Lodge),R_LODGE,Kennedy_Sutherland,-113.22812,47.23517,NA
548,R_MARTIN.FHX,R_MARTIN,Martin Creek riparian (Martin),R_MARTIN,Kennedy_Sutherland,-113.7825,45.96248,NA
549,R_MONT.fhx,R_MONT,Monture Creek riparian (Mont),R_MONT,Kennedy_Sutherland,-113.16763,47.25377,NA
550,R_RANCH.FHX,R_RANCH,Ranch Creek riparian (Ranch),R_RANCH,Kennedy_Sutherland,-113.63202,46.53938,NA
551,R_SHEEP.FHX,R_SHEEP,Sheephead Creek riparian (Sheep),R_SHEEP,Kennedy_Sutherland,-114.45293,45.74775,NA
552,R_STRAIT.fhx,R_STRAIT,Straight Creek riparian (Straight),R_STRAIT,Kennedy_Sutherland,-114.82485,46.90847,NA
553,R_WEST.FHX,R_WEST,W Fork Bitterroot riparian,R_WEST,Kennedy_Sutherland,-114.32555,45.50875,NA
555,RAY.fhx,RAY,Ray Mesa,RAY,Brown_PM,-109.108,38.311,NA
556,RBC.fhx,RBC,"Beaver Creek, UT",RBC,Heyerdahl_EK,-112.4453,38.2267,NA
561,RCP.FHX,RCP,Redwood Crossing Pine,RCP,Swetnam_TW,-118.668,36.26789,NA
566,RFS.FHX,RFS,"Biledo Peak West, pipeline trail",RFS,Swetnam_TW,-119.573799,37.505668,NA
567,RHL_erb.fhx,RHL_ERB,Rhyolite Lower,RHL,Swetnam_TW,-109.341034,32.006045,NA
568,RHM.FHX,RHM,Rhyolite Middle,RHM,Swetnam_TW,-109.3179,32.001852,NA
569,RHU.FHX,RHU,Rhyolite Upper,RHU,Swetnam_TW,-109.3114,31.993942,NA
575,ROS_all.fhx,ROS_ALL,"Wah Wah Mtns (S), UT (ROS)",ROS,Kitchen_SG,-113.5833,38.2833,NA
583,rp1.fhx,RP1,Rincon Peak RP01,RP_1,Iniguez_J,-110.51797,32.13096,NA
584,rp10.fhx,RP10,Rincon Peak RP10,RP_10,Iniguez_J,-110.5263,32.12162,NA
585,rp11.fhx,RP11,Rincon Peak RP11,RP_11,Iniguez_J,-110.52698,32.1191,NA
586,rp12.fhx,RP12,Rincon Peak RP12,RP_12,Iniguez_J,-110.51981,32.11616,NA
587,rp13.fhx,RP13,Rincon Peak RP13,RP_13,Iniguez_J,-110.52093,32.1145,NA
588,rp14.fhx,RP14,Rincon Peak RP14,RP_14,Iniguez_J,-110.53202,32.11494,NA
589,rp15.fhx,RP15,Rincon Peak RP15,RP_15,Iniguez_J,-110.53671,32.1114,NA
590,rp16.fhx,RP16,Rincon Peak RP16,RP_16,Iniguez_J,-110.53073,32.10713,NA
591,rp17.fhx,RP17,Rincon Peak RP17,RP_17,Iniguez_J,-110.52969,32.11622,NA
592,rp18.fhx,RP18,Rincon Peak RP18,RP_18,Iniguez_J,-110.52461,32.11388,NA
593,rp19.fhx,RP19,Rincon Peak RP19,RP_19,Iniguez_J,-110.52132,32.11716,NA
594,rp2.fhx,RP2,Rincon Peak RP02,RP_2,Iniguez_J,-110.52096,32.13025,NA
595,rp20.fhx,RP20,Rincon Peak RP20,RP_20,Iniguez_J,-110.52701,32.11626,NA
596,rp21.fhx,RP21,Rincon Peak RP21,RP_21,Iniguez_J,-110.52527,32.12445,NA
597,rp3.fhx,RP3,Rincon Peak RP03,RP_3,Iniguez_J,-110.52247,32.12799,NA
598,rp4.fhx,RP4,Rincon Peak RP04,RP_4,Iniguez_J,-110.51862,32.12757,NA
599,rp5.fhx,RP5,Rincon Peak RP05,RP_5,Iniguez_J,-110.51944,32.12521,NA
600,rp6.fhx,RP6,Rincon Peak RP06,RP_6,Iniguez_J,-110.52263,32.12493,NA
601,rp7.fhx,RP7,Rincon Peak RP07,RP_7,Iniguez_J,-110.52873,32.12447,NA
602,rp9.fhx,RP9,Rincon Peak RP09,RP_9,Iniguez_J,-110.52349,32.12268,NA
603,RRT.fhx,RRT,LPNF,RRT,Lombardo_K,-119.115431,34.501732,NA
604,RSV.fhx,RSV,LPNF,RSV,Lombardo_K,-119.238659,34.536105,NA
609,SAB.FHX,SAB,Steep and Burnt,SAB,Swetnam_TW,-109.315,31.85752,NA
610,SALINAS.FHX,SALINAS,Salinas Peak,SAL_2,Swetnam_TW,-106.53268,33.296035,NA
613,SB1.fhx,SB1,SBNF,SB1,Lombardo_K,-117.142188,34.186101,NA
614,SB2.fhx,SB2,SBNF,SB2,Lombardo_K,-116.983319,34.118439,NA
618,SCK.FHX,SCK,Sauls Creek,SCK,Wu_R,-107.55932,37.23802,NA
619,SCP.FHX,SCP,South of Cima Peak,SCP,Swetnam_TW,-109.284,31.8573,NA
620,SDA.fhx,SDA,Canon de Evans saddle,SDA,Swetnam_TW,-109.918817,30.885842,NA
621,SDW.FHX,SDW,Saddle West,SDW,Swetnam_TW,-108.78915,31.56335,NA
629,SHD.FHX,SHD,School House Draw,SHD,Wu_R,-108.126,37.59782,NA
632,SIN_all.fhx,SIN_ALL,Sinbad Springs (SIN) (additional site),SIN,Kitchen_SG,-113.32,39.38,NA
640,SNP.fhx,SNP,Snow Park,SNP,Swetnam_TW,-108.587636,33.268728,NA
647,SPR.FHX,SPR,Giant Forest Ridge North,SPR,Swetnam_TW,-118.729,36.58737,NA
649,SRP.FHX,SRP,Tule River East,SRP,Swetnam_TW,-118.661149,36.259357,NA
653,STE.fhx,STE,SBNF,STE,Lombardo_K,-116.930326,34.159501,NA
656,SUP.FHX,SUP,Surprise Canyon,SUP,Swetnam_TW,-109.3502,32.012343,NA
657,SVT.FHX,SVT,Silvertop,SVT,Swetnam_TW,-106.513893,33.333313,NA
658,SWA_all.fhx,SWA_ALL,"House Range, UT (SWA)",SWA_1,Kitchen_SG,-113.3167,39.3833,NA
660,SWD.fhx,SWD,SBNF,SWD,Lombardo_K,-117.327573,34.272439,NA
665,TCK.fhx,TCK,LPNF,TCK,Lombardo_K,-119.269575,34.558597,NA
666,TFP.FHX,TFP,Tub Flat Pine,TFP,Swetnam_TW,-118.672,36.25467,NA
667,THS.fhx,THS,LPNF,THS,Lombardo_K,-119.467664,34.606822,NA
668,TKR.FHX,TKR,Turkey Rill,TKR,Swetnam_TW,-108.7753,31.56022,NA
